url,img_url,brand,title,from,to
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Sola-Alta-Vinho-5930123.html,https://t-static.dafiti.com.br/ws37xiHU7hDKLLU0C2FaFpiVrhU=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-sola-alta-vinho-6212-3210395-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Sola Alta Vinho,"R$ 79,90","R$ 39,99"
https://www.dafiti.com.br/Slip-On-DAFITI-SHOES-Tachas-Preto-3594581.html,https://t-static.dafiti.com.br/bnwMV-Pm-NxK92Gw6ldzjBNT3kE=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-slip-on-dafiti-shoes-tachas-preto-8470-1854953-1-product.jpg,DAFITI SHOES,Slip On DAFITI SHOES Tachas Preto,"R$ 129,90","R$ 79,99"
https://www.dafiti.com.br/Slip-On-DAFITI-SHOES-No-Bege-5937093.html,https://t-static.dafiti.com.br/S82TgBK3iIAEkQDYdIw08xltOfA=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-slip-on-dafiti-shoes-n%25c3%25b3-bege-7835-3907395-1-product.jpg,DAFITI SHOES,Slip On DAFITI SHOES Nó Bege,"R$ 99,90","R$ 79,99"
https://www.dafiti.com.br/Tenis-Amorelle-Sneaker-Plataforma-Shoes-Vermelho-6504967.html,https://t-static.dafiti.com.br/eEHnRLLIGnTHRbj72zYXA-DSUhM=/fit-in/333x483/static.dafiti.com.br/p/amorelle-tenis-amorelle-sneaker-plataforma-shoes-vermelho-2334-7694056-1-product.jpg,Amorelle,Tenis Amorelle Sneaker Plataforma Shoes Vermelho,"R$ 169,90","R$ 94,90"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Linha-Preto-5908077.html,https://t-static.dafiti.com.br/Lazfv5207kbZmTkOGl7LBeIC41o=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-linha-preto-5299-7708095-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Linha Preto,"R$ 99,90","R$ 59,99"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Matelasse-Branco-4655601.html,https://t-static.dafiti.com.br/cqUZvEm03vCMleOMEd05wZQPoLA=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-matelass%25c3%25aa-branco-3511-1065564-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Matelassê Branco,"R$ 119,90","R$ 74,99"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Cano-Medio-Preto-2748141.html,https://t-static.dafiti.com.br/LRGDHbtFLA7HFkreaKSzRLx6tAk=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-cano-m%25c3%25a9dio-preto-2638-1418472-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Cano Médio Preto,"R$ 129,90","R$ 79,99"
https://www.dafiti.com.br/Slip-On-DAFITI-SHOES-Jogging-Preto-5936077.html,https://t-static.dafiti.com.br/kJ9LeTGp-q-RkQedUsWY4LTOq6U=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-slip-on-dafiti-shoes-jogging-preto-4491-7706395-1-product.jpg,DAFITI SHOES,Slip On DAFITI SHOES Jogging Preto,"R$ 119,90","R$ 49,99"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Texturizado-Azul-Marinho-5937107.html,https://t-static.dafiti.com.br/r3OiOPcVk5tQYY06yZvWre1FJKg=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-texturizado-azul-marinho-0126-7017395-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Texturizado Azul-Marinho,"R$ 89,90","R$ 44,99"
https://www.dafiti.com.br/Tenis-Slip-On-Casual-Macio-JL-Shoes-Pelo-Onca-6487523.html,https://t-static.dafiti.com.br/qxTiqgybzINqPUuujhvX1oXW508=/fit-in/333x483/static.dafiti.com.br/p/jl-shoes-t%25c3%25aanis-slip-on-casual-macio-jl-shoes-pelo-on%25c3%25a7a-8792-3257846-1-product.jpg,JL SHOES,Tênis Slip On Casual Macio JL Shoes Pelo Onça,"R$ 179,90","R$ 69,90"
https://www.dafiti.com.br/Tenis-Sapatenis-Casual-Leve-JL-Shoes-Branco-6209901.html,https://t-static.dafiti.com.br/YPg_2_11JArtsXPUs5St49zHxdY=/fit-in/333x483/static.dafiti.com.br/p/jl-shoes-t%25c3%25aanis-sapat%25c3%25aanis-casual-leve-jl-shoes-branco-1306-1099026-1-product.jpg,JL SHOES,Tênis Sapatênis Casual Leve JL Shoes Branco,"R$ 129,90","R$ 79,90"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Floral-Preto-4379007.html,https://t-static.dafiti.com.br/i5OH2aYVeHnXOQK8JvbNN4Fxi1s=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-floral-preto-8784-7009734-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Floral Preto,"R$ 119,90","R$ 64,99"
https://www.dafiti.com.br/Tenis-Jogging-DAFITI-SHOES-Liso-Vinho-5548767.html,https://t-static.dafiti.com.br/3GpaUSReVvVDren30reOpiB6dOs=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-jogging-dafiti-shoes-liso-vinho-5816-7678455-1-product.jpg,DAFITI SHOES,Tênis Jogging DAFITI SHOES Liso Vinho,"R$ 79,90","R$ 44,99"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Onca-Preto-5036305.html,https://t-static.dafiti.com.br/NljCCMrMhWExikyDavCabnlJH98=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-on%25c3%25a7a-preto-6179-5036305-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Onça Preto,"R$ 129,90","R$ 59,99"
